sample_id,mapped
SRR6900352,94.69
SRR3319069,89.78
SRR5193654,90.91
SRR7285772,89.94
SRR7359592,97.21
SRR1958262,93.87
SRR1959285,95.07
SRR1967906,97.2
SRR8117043,89.81
SRR6918615,92.63
SRR5215782,95.32
SRR8149431,94.97
SRR6924050,95.26
SRR7962286,94.94
SRR6918534,97.41
SRR5215533,96.68
SRR4063743,91.9
SRR7828439,89.86
SRR7359086,96.61
SRR5193996,95.9
SRR6901151,96.09
SRR6900990,94.47
SRR1967231,95.44
SRR1966534,94.56
SRR8166216,92.23
SRR1952902,86.54
SRR1958129,94.64
SRR6920736,96.4
SRR7223203,93.99
SRR8382447,94.88
SRR7344643,86.12
SRR7850616,90.11
SRR1969123,93.18
SRR8717200,97.69
SRR6922021,95.59
SRR5194022,88.46
SRR8370524,91.7
SRR8149136,95.04
SRR8492479,96.45
SRR5216327,94.91
SRR8142750,95.2
SRR1965867,94.6
SRR5215773,93.62
SRR6919238,92.21
SRR5220624,86.72
SRR5193537,95.48
SRR6924156,82.05
SRR7892339,94.92
SRR5193472,95.69
SRR7468879,96.71
SRR7538877,97.05
SRR5220515,94.68
SRR5215830,97.43
SRR8553989,83.39
SRR5583161,94.92
SRR6900175,95.61
SRR5220514,96.07
SRR8249752,94.88
SRR3049599,88.61
SRR1957804,87.99
SRR5193478,95.34
SRR8249764,94.74
SRR6919983,95.95
SRR6919757,82.45
SRR6900092,96.31
SRR7528175,91.86
SRR5220152,90.77
SRR1966946,92.86
SRR7292884,95.8
SRR6918352,95.75
SRR8299426,94.75
SRR1969815,96.16
SRR7344646,93.02
SRR6920001,95.37
SRR1965114,92.7
SRR8204039,93.99
SRR8711783,95.8
SRR5193486,94.66
SRR7841530,86.42
SRR6897826,94.73
SRR3048579,94.96
SRR5220423,95.2
SRR5193915,94.85
SRR7439408,83.29
SRR7867204,95.07
SRR7533177,96.67
SRR1969548,93.47
SRR5633330,90.1
SRR7885136,95.46
SRR8772222,95.91
SRR8375206,89.06
SRR8166151,94.69
SRR7538892,96.13
SRR5193056,95.8
SRR8380676,94.7
SRR7892145,94.45
SRR1968277,97.91
SRR8292214,93.63
SRR5216197,95.8
SRR5193245,93.52
SRR8705989,94.98
SRR5215631,95.33
SRR5193116,94.28
SRR6920130,88.14
SRR5194147,95.86
SRR5219521,96.16
SRR6900178,97.23
SRR6898391,94.89
SRR5194000,94.98
SRR5220605,85.51
SRR7998246,92.13
SRR1970000,96.7
SRR6897956,86.71
SRR1968065,70.99
SRR5583919,89.9
SRR8515721,97.47
SRR8585102,97.2
SRR6897715,95.81
SRR8117042,95.04
SRR8397340,95.1
SRR6901173,82.14
SRR1968089,93.94
SRR1968543,95.49
SRR8116981,91.73
SRR1969940,95.89
SRR5193208,88.81
SRR6918541,95.55
SRR8717172,90.22
SRR1967903,94.97
SRR6919301,92.96
SRR8186293,94.59
SRR1957886,84.99
SRR5193402,96.98
SRR5193887,93.82
SRR6920194,84.57
SRR5220913,93.32
SRR5215864,95.11
SRR1967002,94.49
SRR8369284,94.81
SRR5220889,87.24
SRR7879572,93.14
SRR5220918,90.93
SRR7523061,97.31
SRR5220557,94.02
SRR7867150,94.85
SRR6919293,96.21
SRR5220821,94.77
SRR5220283,93.02
SRR8485173,91.1
SRR5220643,93.43
SRR8116960,94.85
SRR5216160,79.92
SRR8797002,93.79
SRR6900941,96.09
SRR6918302,96.58
SRR8445028,94.98
SRR8441111,95.19
SRR8300688,94.83
SRR1963320,96.9
SRR7962332,95.81
SRR8084291,95.19
SRR6919216,91.62
SRR5216265,96.09
SRR1968888,93.98
SRR7892314,91.08
SRR7873967,94.43
SRR7842655,92.82
SRR1965594,95.64
SRR5193350,95.49
SRR5219529,96.0
SRR1965831,94.32
SRR7285604,95.36
SRR5193701,92.43
SRR8441127,95.33
SRR5193305,87.8
SRR5193073,95.77
SRR1969624,88.24
SRR1963326,95.4
SRR8087122,95.34
SRR6922676,94.7
SRR6922123,95.4
SRR8499326,95.88
SRR1969687,97.69
SRR1967757,95.26
SRR3049205,88.66
SRR5194312,95.38
SRR1969120,95.21
SRR5216318,95.67
SRR7401742,92.48
SRR8731039,92.51
SRR7867298,93.84
SRR6918596,95.54
SRR7457900,96.83
SRR4073151,95.41
SRR3285424,90.29
SRR5216499,91.57
SRR1967174,94.64
SRR5193408,95.58
SRR6901134,96.52
SRR7187256,90.16
SRR6898432,87.25
SRR1969372,89.91
SRR3312547,91.76
SRR5220845,89.9
SRR3049665,95.69
SRR5216373,93.23
SRR7892232,94.87
SRR3319067,93.65
SRR7368867,94.74
SRR5194206,88.99
SRR8272639,96.64
SRR5193667,95.75
SRR1958072,95.99
SRR1963339,97.56
SRR3286919,92.03
SRR6921945,79.87
SRR7426630,95.77
SRR7842675,90.05
SRR8839597,90.01
SRR8936127,96.5
SRR6924161,95.08
SRR7458139,96.11
SRR7884662,94.79
SRR5215866,94.35
SRR1958403,96.24
SRR5220638,83.57
SRR5193518,93.5
SRR1968209,41.14
SRR6900834,91.31
SRR7187957,96.22
SRR6922743,96.09
SRR7187234,84.36
SRR8711785,97.17
SRR8361481,94.71
SRR8498991,88.45
SRR1967698,95.6
SRR1966818,97.19
SRR3286606,94.08
SRR5193307,95.94
SRR7850589,92.82
SRR6920479,94.77
SRR5194224,87.39
SRR8479010,85.6
SRR7506953,95.52
SRR5193896,93.96
SRR8293785,96.59
SRR1957812,91.68
SRR1966120,94.69
SRR7480282,96.05
SRR8293586,94.87
SRR1965068,92.72
SRR1957777,96.6
SRR7892294,93.84
SRR7191729,97.17
SRR3286675,91.05
SRR6922737,96.69
SRR6919268,94.16
SRR7414973,90.98
SRR7451118,95.74
SRR8131552,94.8
SRR5193578,82.77
SRR6919924,96.35
SRR7501339,95.41
SRR7284463,69.02
SRR6900917,92.1
SRR7351458,95.6
SRR6900106,95.32
