SRA Accession,RECEIPT,TRAVEL,SNP,lat ,lon,Discrepancy Lat/Lon,Country,Region,Sub-region,RECEIPT_datetime,Cluster
SRR1969291,2014-05-08,,1.1.1.1.1.1.1,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-08,0
SRR6897170,2017-11-27,,1.1.123.222.222.4276.8925,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-11-27,1
SRR5194017,2016-12-21,,1.1.127.233.2608.3351.6522,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-12-21,2
SRR6924109,2016-10-18,,1.1.127.233.2553.3204.6041,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-18,2
SRR6901066,2017-09-19,,1.1.127.233.2587.4121.8427,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-19,2
SRR8717069,2015-08-06,Pakistan,1.1.127.233.1785.2109.3263,30.375321,69.345116,0.0,Pakistan,Asia,Southern Asia,2015-08-06,2
SRR6899435,2017-09-13,,1.1.127.233.3166.4088.8330,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-13,2
SRR5220674,2016-11-15,Pakistan,1.1.127.233.2608.3286.6299,30.375321,69.345116,0.0,Pakistan,Asia,Southern Asia,2016-11-15,2
SRR1960232,2014-12-17,,1.1.127.233.673.726.899,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-12-17,2
SRR1967973,2014-09-17,,1.1.127.233.233.233.233,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-09-17,2
SRR7841646,2018-08-22,,1.1.127.233.631.5370.11484,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-08-22,2
SRR1969494,2014-11-12,Iran,1.1.127.233.673.726.899,32.427908,53.688046,0.0,Iran,Asia,Southern Asia,2014-11-12,2
SRR7873840,2018-08-14,,1.1.127.233.631.5339.11400,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-08-14,2
SRR1960083,2014-11-27,,1.1.127.233.631.675.826,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-11-27,2
SRR8893164,2019-04-02,,1.1.127.233.2587.5881.12921,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-04-02,2
SRR6922650,2016-02-19,,1.1.127.1246.2126.2587.4438,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-02-19,2
SRR3049562,2014-06-03,,1.1.127.233.1122.1267.1702,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-03,2
SRR5215786,2016-10-11,,1.1.127.233.1785.3160.5924,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-11,2
SRR1961505,2014-09-19,,1.1.148.264.264.264.264,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-09-19,3
SRR1968125,2014-04-24,Unknown Destination,1.1.157.276.276.276.276,#N/A,#N/A,1.0,NA,,,2014-04-24,4
SRR6919240,2016-06-14,Mali,1.1.157.276.2158.2728.4827,17.570692,-3.996166,0.0,Mali,Africa,Sub-Saharan Africa,2016-06-14,4
SRR5193924,2016-03-30,,1.1.157.276.2154.2627.4545,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-03-30,4
SRR7297930,2016-03-24,,1.1.157.276.2158.2634.4555,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-03-24,4
SRR6918570,2017-07-11,,1.1.185.1138.3091.3940.7757,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-07-11,5
SRR5216224,2015-09-24,,1.1.185.1138.1889.2255.3604,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-09-24,5
SRR8711780,2015-11-05,Malaysia,1.1.185.1185.2011.2418.3987,4.210484,101.975766,0.0,Malaysia,Asia,South-eastern Asia,2015-11-05,5
SRR8706014,2015-11-17,,1.1.185.1138.1889.2255.3604,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-17,5
SRR8172826,2018-10-23,Singapore,1.1.185.1138.3091.3940.12298,1.352083,103.819836,0.0,Singapore,Asia,South-eastern Asia,2018-10-23,5
SRR8691648,2019-02-18,,1.1.185.1138.3091.3940.12766,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-18,5
SRR8568456,2019-01-31,,1.1.185.1138.3091.5805.12702,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-01-31,5
SRR8515764,2019-01-15,,1.1.185.1138.3091.3940.12664,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-01-15,5
SRR6899328,2017-09-29,Spain,1.1.2.2309.3074.3907.8552,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-09-29,6
SRR6922486,2017-09-28,Cuba,1.1.2.15.15.3655.8596,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2017-09-28,6
SRR6900354,2017-09-28,Greece,1.1.2.12.12.4034.8538,39.074208,21.824312,0.0,Greece,Europe,Southern Europe,2017-09-28,6
SRR3284718,2015-11-03,,1.1.2.35.1779.2100.3993,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-03,6
SRR7191862,2015-11-03,Turkey,1.1.2.63.63.63.3992,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-03,6
SRR5220108,2015-11-04,China,1.1.2.1183.2008.2414.3978,35.86166,104.195397,0.0,China,Asia,Eastern Asia,2015-11-04,6
SRR5220846,2015-11-04,Malaysia,1.1.2.4.4.2384.4000,4.210484,101.975766,0.0,Malaysia,Asia,South-eastern Asia,2015-11-04,6
SRR7426527,2015-11-04,Egypt,1.1.2.64.64.1930.3714,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-04,6
SRR6900362,2017-09-29,Malaysia,1.1.2.206.508.529.8527,4.210484,101.975766,0.0,Malaysia,Asia,South-eastern Asia,2017-09-29,6
SRR6918630,2017-09-29,,1.1.2.15.383.4049.8558,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-29,6
